metric,value
count_accommodation,2
count_equipment,5
count_meals,14
count_other,3
count_prefix_HN,8
count_prefix_R,13
count_prefix_TXN,7
count_source_01,13
count_source_02,7
count_source_03,8
count_source_04,6
count_transport,10
row_count,34
sum_date_source_01,263388297
sum_date_source_02,141824580
sum_date_source_03,162084900
sum_date_source_04,121563274
sum_date_yyyymmdd,688861051
sum_gst,216.54
sum_gst_source_01,62.82
sum_gst_source_02,153.72
sum_gst_source_03,0.00
sum_gst_source_04,0.00
sum_total,3105.08
sum_total_source_01,777.28
sum_total_source_02,2103.70
sum_total_source_03,111.60
sum_total_source_04,112.50
